bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
Sedan,5.0,100000,2015,Diesel,3,Automatic,650000,Third Party insurance,1498.0,Volkswagen,7,21.21,FWD,chennai
Sedan,5.0,119975,2017,Petrol,1,Manual,513999,Third Party,1197.0,Maruti,5,22.41,FWD,chennai
Sedan,5.0,19000,2017,Petrol,1,Automatic,3900000,Comprehensive,1998.0,BMW,8,15.34,RWD,chennai
Hatchback,5.0,64906,2016,Petrol,2,Manual,455999,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Hatchback,5.0,81484,2016,Petrol,2,Manual,501999,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
Sedan,5.0,45067,2018,Petrol,1,Manual,685000,Comprehensive,1197.0,Maruti,5,21.21,FWD,chennai
Sedan,4.0,68000,2018,Petrol,1,Automatic,11000000,Third Party insurance,4663.0,Mercedes-Benz,9,7.81,RWD,chennai
Hatchback,5.0,65768,2016,Petrol,1,Manual,580000,Comprehensive,1199.0,Honda,5,18.7,FWD,chennai
Hatchback,5.0,61000,2016,Petrol,2,Manual,530000,Comprehensive,1199.0,Honda,5,18.7,FWD,chennai
Sedan,5.0,50000,2009,Diesel,3,Automatic,1700000,Comprehensive,2987.0,Mercedes-Benz,7,13.0,RWD,chennai
Sedan,5.0,23000,2018,Diesel,1,Automatic,4375000,Comprehensive,1995.0,BMW,8,18.12,RWD,chennai
Sedan,5.0,17000,2018,Diesel,1,Automatic,8200000,Comprehensive,2993.0,BMW,8,16.46,RWD,chennai
Hatchback,5.0,102958,2017,Petrol,1,Automatic,420000,Comprehensive,998.0,Maruti,5,23.1,FWD,chennai
Sedan,5.0,62900,2013,Diesel,1,Manual,775000,Comprehensive,1364.0,Toyota,6,21.43,FWD,chennai
Hatchback,5.0,65076,2015,Petrol,2,Manual,395000,Comprehensive,998.0,Maruti,5,20.51,FWD,chennai
Hatchback,5.0,75876,2016,Petrol,1,Manual,533000,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
Hatchback,5.0,98911,2015,Petrol,1,Manual,547000,Third Party insurance,1197.0,Hyundai,5,18.6,FWD,chennai
Hatchback,5.0,45000,2015,Petrol,1,Manual,395000,Comprehensive,998.0,Maruti,5,23.1,FWD,chennai
Sedan,5.0,76089,2017,Diesel,1,Automatic,908000,Third Party,1582.0,Hyundai,4,19.08,FWD,chennai
Hatchback,5.0,54505,2017,Petrol,2,Manual,521000,Third Party,1197.0,Hyundai,5,18.9,FWD,chennai
Sedan,5.0,24000,2019,Diesel,1,Automatic,2290000,Third Party insurance,1968.0,Audi,6,20.38,FWD,chennai
Sedan,5.0,96573,2016,Petrol,1,Manual,507000,Zero Dep,1197.0,Maruti,5,22.41,FWD,chennai
SUV,5.0,30000,2019,Diesel,1,Automatic,1625000,Comprehensive,1493.0,Kia,6,18.9,FWD,chennai
Hatchback,5.0,63720,2016,Petrol,2,Manual,528000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Hatchback,5.0,14411,2021,Petrol,1,Manual,434999,Comprehensive,796.0,Maruti,5,22.05,FWD,chennai
SUV,5.0,11000,2022,Petrol,1,Automatic,1490000,Comprehensive,999.0,Volkswagen,6,18.41,FWD,chennai
SUV,5.0,21000,2022,Petrol,1,Automatic,1789999,Comprehensive,1498.0,Skoda,7,18.86,FWD,chennai
SUV,5.0,34392,2017,Petrol,1,Manual,625000,Comprehensive,1199.0,Honda,5,17.5,FWD,chennai
Hatchback,5.0,20000,2022,Petrol,1,Manual,690000,Third Party insurance,1197.0,Hyundai,5,20.7,FWD,chennai
SUV,5.0,10000,2022,Petrol,1,Manual,1350000,Third Party insurance,998.0,Kia,6,18.2,FWD,chennai
SUV,5.0,20000,2022,Petrol,1,Automatic,1550000,Third Party insurance,1498.0,MG,8,14.82,FWD,chennai
Hatchback,5.0,47000,2019,Petrol,1,Automatic,790000,Comprehensive,1197.0,Toyota,5,19.56,FWD,chennai
Hatchback,5.0,60333,2014,Petrol,2,Manual,270000,Comprehensive,998.0,Maruti,5,23.95,FWD,chennai
Hatchback,5.0,81058,2014,Diesel,1,Manual,365000,Comprehensive,1186.0,Hyundai,5,24.0,FWD,chennai
Sedan,5.0,51800,2010,Petrol,2,Manual,425000,Comprehensive,1799.0,Honda,5,13.5,FWD,chennai
Hatchback,5.0,32797,2016,Petrol,2,Manual,528000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Hatchback,5.0,69731,2016,Petrol,1,Manual,511000,Comprehensive,1197.0,Hyundai,5,18.9,FWD,chennai
Sedan,5.0,54000,2016,Petrol,2,Manual,625000,Comprehensive,1497.0,Honda,5,17.8,FWD,chennai
Hatchback,5.0,110267,2016,Petrol,2,Manual,327000,Comprehensive,1198.0,Nissan,5,19.49,FWD,chennai
SUV,6.0,31767,2018,Petrol,1,Manual,505000,Third Party insurance,1198.0,Mahindra,5,18.15,FWD,chennai
SUV,5.0,45677,2018,Petrol,2,Manual,640000,Comprehensive,1199.0,Honda,5,17.5,FWD,chennai
Hatchback,5.0,66656,2017,Petrol,1,Manual,449000,Comprehensive,998.0,Maruti,5,25.24,FWD,chennai
Sedan,5.0,27000,2019,Diesel,1,Manual,725000,Comprehensive,1498.0,Honda,5,24.7,FWD,chennai
Hatchback,5.0,37004,2021,Petrol,1,Manual,495000,Comprehensive,999.0,Renault,5,21.74,FWD,chennai
Hatchback,5.0,85274,2011,Petrol,2,Manual,271000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,chennai
SUV,5.0,60000,2017,Diesel,2,Manual,940000,Third Party insurance,1582.0,Hyundai,6,19.67,FWD,chennai
Sedan,5.0,42000,2017,Petrol,1,Manual,799000,Comprehensive,1497.0,Honda,5,17.4,FWD,chennai
